unit,assetId,familyId,familyTitle,finalImageTitle,roleInFamily,pedagogicalStatesPresent,needClassification,needOverride,productionClass,productionClassLabel,priority,priorityLabel,curriculumContext,instructionalPurpose,learnerVisiblePurpose,immutableFacts,prohibitedChanges,requiredLabelsPresent,requiredLabelsList,labelsPedagogicallyRequired,annotationPolicy,artExpectation,currentReferenceTitle,currentReferenceUrl,currentReferenceLicence,currentReferenceQualityGrade,secondaryReferenceTitle,secondaryReferenceUrl,secondaryReferenceLicence,referenceMissing,referenceComposite,referenceSuspectUnsuitable,blockedNotes,canonicalStates,canonicalStateCount,outputSubfolder,filenameBase,expectedOutputPathStem,governedDiagramBlueprintId,currentWorkflowStatus,hiddenFromStudio,requiresReferenceResearch,referenceStatus,currentReferenceConfidence,notesForReferenceResearch,sharedReferenceSiblings
Unit 202,unit202.levers.class-3,unit202.family.levers,Lever classes,Lever — Class III,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO3 — lesson.foundation.physics.simple-machines,Show a Class III lever arrangement (effort between fulcrum and load) so a learner can recognise it from the arrangement itself.,"One premium illustration of a bar with the effort positioned between a clearly marked fulcrum and load point, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",effort positioned between the fulcrum and the load point,do not blend this with the Class I or Class II arrangement,TRUE,EFFORT; LOAD; FULCRUM,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Pearson Scott Foresman — Lever (PSF).svg,https://commons.wikimedia.org/wiki/File:Lever_(PSF).svg,Public domain,A+,,,,FALSE,TRUE,FALSE,,"{""stateId"":""unit202.levers.class-3.state.recognition"",""displayName"":""Class III recognition (no distances)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.levers.class-3.state.moment-balance"",""displayName"":""Class III with effort-arm/load-arm distances"",""pedagogicalState"":""MULTI_STATE""}",2,hybrid,levers-class-3-base,apps/mobile/src/assets/instructional/unit202/hybrid/levers-class-3-base,mechanical.lever_arrangement,SAVED,FALSE,TRUE,COMPOSITE_NEEDS_CROP,MEDIUM,"Shares the identical Lever_(PSF).svg file with unit202.levers.class-1 (confirmed composite, CC-11.8 proof). This asset is the BOTTOM diagram.",unit202.levers.class-1; unit202.levers.class-2
Unit 202,unit202.pulleys.fixed,unit202.family.pulleys,Pulleys,Fixed pulley,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO3 — lesson.foundation.physics.simple-machines,"Show a fixed pulley: direction change only, mechanical advantage approximately 1.","One premium illustration of a fixed pulley wheel with a fixed anchor point and a physically plausible rope path with effort/load ends, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",fixed anchor point; pulley wheel changes rope direction only; mechanical advantage approximately 1; physically continuous/plausible rope path,do NOT introduce block-and-tackle complexity,TRUE,EFFORT; LOAD; fixed anchor point,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Pulley1a.svg,https://commons.wikimedia.org/wiki/File:Pulley1a.svg,Public-domain where recorded,B+ overall -- simplify to governed Unit 202 scope,,,,FALSE,FALSE,TRUE,,"{""stateId"":""unit202.pulleys.fixed.state.teaching"",""displayName"":""Fixed pulley"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,pulleys-fixed-base,apps/mobile/src/assets/instructional/unit202/hybrid/pulleys-fixed-base,mechanical.pulley_arrangement,SAVED,FALSE,TRUE,SUSPECT_UNSUITABLE,NONE,"CONFIRMED unsuitable in the CC-11.8 Gemini proof session: the cited reference depicts a compound fixed+movable block-and-tackle pulley system, directly contradicting this asset's own prohibitedChanges (""do NOT introduce block-and-tackle complexity""). Needs a genuinely isolated fixed-pulley-only reference.",unit202.pulleys.movable
Unit 202,unit202.pulleys.movable,unit202.family.pulleys,Pulleys,Movable pulley,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO3 — lesson.foundation.physics.simple-machines,"Show a simple movable pulley: two supporting rope segments, mechanical advantage approximately 2.","One premium illustration of a movable pulley with exactly two supporting rope segments and a physically plausible rope path with effort/load ends, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",exactly two supporting rope segments; mechanical advantage approximately 2; physically continuous/plausible rope path,do NOT introduce block-and-tackle complexity,TRUE,EFFORT; LOAD; supporting-segment count,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Pulley1a.svg,https://commons.wikimedia.org/wiki/File:Pulley1a.svg,Public-domain where recorded,B+ overall -- simplify to governed Unit 202 scope,Historical simple-pulley material (secondary geometry cross-check),,to be recorded when selected,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.pulleys.movable.state.teaching"",""displayName"":""Movable pulley"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,pulleys-movable-base,apps/mobile/src/assets/instructional/unit202/hybrid/pulleys-movable-base,mechanical.pulley_arrangement,SAVED,FALSE,TRUE,APPROVED_EXISTING,LOW,"Shares the identical Pulley1a.svg reference file with unit202.pulleys.fixed, which was directly inspected in the CC-11.8 proof and found to depict a compound block-and-tackle system contradicting its own prohibitedChanges. This asset's own suitability against its own prohibitedChanges has NOT been independently re-verified -- treat with the same scrutiny before use.",unit202.pulleys.fixed
Unit 202,unit202.magnet.field,unit202.family.magnetism,Magnetism — field and pole interaction,Bar magnet and magnetic field,PHENOMENON,MULTI_STATE,REQUIRED,,HYBRID,HYBRID,P0,P0,LO5 — lesson.magnetism.fundamentals,"Show a bar magnet with its external magnetic field pattern, N to S, as the basis for flux/flux-density teaching.","One premium illustration of a bar magnet body ready to receive a deterministic N/S-labelled field-line overlay, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",meaningful field-line geometry; external field direction runs N to S; field-line density used meaningfully where density is taught,do not draw field lines that reverse direction or cross incorrectly,TRUE,N; S; field-line direction,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — DipolMagnet.svg,https://commons.wikimedia.org/wiki/File:DipolMagnet.svg,Public-domain dedication,A+,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.magnet.field.state.field-only"",""displayName"":""Bar magnet field pattern (no density comparison)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.magnet.field.state.density-comparison"",""displayName"":""Bar magnet field with flux-density comparison (same flux, different cross-section)"",""pedagogicalState"":""MULTI_STATE""}",2,hybrid,magnet-field-base,apps/mobile/src/assets/instructional/unit202/hybrid/magnet-field-base,magnetic.flux_field_lines,SAVED,FALSE,FALSE,APPROVED_EXISTING,HIGH,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.magnet.poles.like,unit202.family.magnetism,Magnetism — field and pole interaction,Magnetic pole repulsion — like poles facing (repel),COMPARISON,TEACHING; ASSESSMENT,REQUIRED,,HYBRID,HYBRID,P1,P1,LO5 — lesson.magnetism.fundamentals,Show like poles facing (repel) from the pole labels on two bar magnets.,"BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium illustration of two bar magnets arranged like poles facing (repel), matching the reference relationship exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","like poles repel; magnets must be composed with a spacing appropriate to repulsion (visible gap, compressed/deflected field lines) -- this specific spacing is the defining physical fact of this asset, never mixed with the sibling asset; field behaviour between the two magnets must remain physically meaningful",this premium asset is TEACHING-only -- the separate deterministic magnetic.pole_interaction diagram (not this asset) is what governs the assessment-mode reveal/withhold state; do not treat this teaching image's own labels as an assessment-answer leak; do not depict the unlike-poles/attracting arrangement in this asset -- that is the sibling ProductionAsset,TRUE,N; S; attract/repel force-arrow indicator,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.magnet.poles.like.state.teaching"",""displayName"":""like poles facing (repel) — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.magnet.poles.like.state.assessment"",""displayName"":""like poles facing (repel) — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""}",2,hybrid,magnet-poles-like-base,apps/mobile/src/assets/instructional/unit202/hybrid/magnet-poles-like-base,magnetic.pole_interaction,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.magnet.poles.unlike,unit202.family.magnetism,Magnetism — field and pole interaction,Magnetic pole attraction — unlike poles facing (attract),COMPARISON,TEACHING; ASSESSMENT,REQUIRED,,HYBRID,HYBRID,P1,P1,LO5 — lesson.magnetism.fundamentals,Show unlike poles facing (attract) from the pole labels on two bar magnets.,"BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium illustration of two bar magnets arranged unlike poles facing (attract), matching the reference relationship exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","unlike poles attract; magnets must be composed with a spacing appropriate to attraction (close together, merging field lines) -- this specific spacing is the defining physical fact of this asset, never mixed with the sibling asset; field behaviour between the two magnets must remain physically meaningful",this premium asset is TEACHING-only -- the separate deterministic magnetic.pole_interaction diagram (not this asset) is what governs the assessment-mode reveal/withhold state; do not treat this teaching image's own labels as an assessment-answer leak; do not depict the like-poles/repelling arrangement in this asset -- that is the sibling ProductionAsset,TRUE,N; S; attract/repel force-arrow indicator,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.magnet.poles.unlike.state.teaching"",""displayName"":""unlike poles facing (attract) — force revealed (teaching)"",""pedagogicalState"":""TEACHING""} | {""stateId"":""unit202.magnet.poles.unlike.state.assessment"",""displayName"":""unlike poles facing (attract) — force withheld (assessment)"",""pedagogicalState"":""ASSESSMENT""}",2,hybrid,magnet-poles-unlike-base,apps/mobile/src/assets/instructional/unit202/hybrid/magnet-poles-unlike-base,magnetic.pole_interaction,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.magnet.permanent-vs-electromagnet,unit202.family.magnetism,Magnetism — field and pole interaction,Permanent magnet vs electromagnet comparison,COMPARISON,TEACHING,USEFUL,USEFUL,HYBRID,HYBRID,P2,"P2 (USEFUL, not REQUIRED)",LO5 — lesson.magnetism.fundamentals,"CC-11.7 audit finding: a genuine physical-topology comparison (coiled wire around a core vs a solid bar magnet) the learner can use to distinguish the two magnet types by appearance -- USEFUL enrichment, Level 2 depth keeps it below REQUIRED.","BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium side-by-side illustration (permanent magnet | electromagnet), matching the immutable facts exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","permanent magnet depicted as a solid bar/horseshoe magnet, no coil or power source; electromagnet depicted as a coil of wire around a core with a visible power source/current path; one side-by-side comparison image, not two separate images",do not generate until a primary reference is marked READY; do not split into two separate images -- this is one comparison deliverable,TRUE,PERMANENT MAGNET; ELECTROMAGNET,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.magnet.permanent-vs-electromagnet.state.teaching"",""displayName"":""Permanent magnet vs electromagnet (blocked)"",""pedagogicalState"":""TEACHING""}",1,hybrid,magnet-permanent-vs-electromagnet-base,apps/mobile/src/assets/instructional/unit202/hybrid/magnet-permanent-vs-electromagnet-base,,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.circuit.series,unit202.family.circuit-series,Series circuit,Series circuit,TECHNICAL_DIAGRAM,MULTI_STATE,REQUIRED,,DETERMINISTIC_TECHNICAL,DETERMINISTIC TECHNICAL,P1,P1,LO4 — lesson.electrical.resistors-series,A visually polished series-circuit reference for style/contrast QA against the existing deterministic renderer -- topology and correctness are already governed.,"A style/contrast reference only (not a replacement asset): include an unmistakable cell/battery/source wherever current direction is being taught, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",complete source; one continuous loop; UK/IEC component convention; current direction consistent with polarity when shown,do not replace the governed deterministic SVG renderer's output with generated raster geometry,FALSE,,FALSE,NONE,DETERMINISTIC_VECTOR_NOT_ART_GENERATED,Wikimedia Commons — Battery symbols and circuit.svg,https://commons.wikimedia.org/wiki/File:Battery_symbols_and_circuit.svg,recorded per source page,A,Wikimedia Commons — Series and parallel circuits2.svg,https://commons.wikimedia.org/wiki/File:Series_and_parallel_circuits2.svg,recorded per source page,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.circuit.series.state.2-component"",""displayName"":""Series circuit — 2 components"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.circuit.series.state.3-component"",""displayName"":""Series circuit — 3 components"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.circuit.series.state.4-component"",""displayName"":""Series circuit — 4 components"",""pedagogicalState"":""MULTI_STATE""}",3,deterministic-polish,circuit-series-base,apps/mobile/src/assets/instructional/unit202/deterministic-polish/circuit-series-base,circuit.series_resistors,READY_TO_PROMPT,TRUE,FALSE,APPROVED_EXISTING,HIGH,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.circuit.parallel,unit202.family.circuit-parallel,Parallel circuit,Parallel circuit,TECHNICAL_DIAGRAM,MULTI_STATE,REQUIRED,,DETERMINISTIC_TECHNICAL,DETERMINISTIC TECHNICAL,P1,P1,LO4 — lesson.electrical.resistors-parallel,A visually polished parallel-circuit reference for style/contrast QA against the existing deterministic renderer -- topology and correctness are already governed.,"A style/contrast reference only (not a replacement asset), matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",source present; common pair of nodes/rails; separate branches; current direction consistent with source polarity,do not replace the governed deterministic SVG renderer's output with generated raster geometry,FALSE,,FALSE,NONE,DETERMINISTIC_VECTOR_NOT_ART_GENERATED,Same circuit reference family as series (see unit202.circuit.series),https://commons.wikimedia.org/wiki/File:Series_and_parallel_circuits2.svg,recorded per source page,A,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.circuit.parallel.state.2-branch"",""displayName"":""Parallel circuit — 2 branches"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.circuit.parallel.state.3-branch"",""displayName"":""Parallel circuit — 3 branches"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.circuit.parallel.state.4-branch"",""displayName"":""Parallel circuit — 4 branches"",""pedagogicalState"":""MULTI_STATE""}",3,deterministic-polish,circuit-parallel-base,apps/mobile/src/assets/instructional/unit202/deterministic-polish/circuit-parallel-base,circuit.parallel_resistors,READY_TO_PROMPT,TRUE,FALSE,APPROVED_EXISTING,HIGH,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.circuit.mixed,unit202.family.circuit-mixed,Mixed series/parallel circuit,Mixed series/parallel circuit,TECHNICAL_DIAGRAM,MULTI_STATE,REQUIRED,,DETERMINISTIC_TECHNICAL,DETERMINISTIC TECHNICAL,P1,P1,LO4 — lesson.electrical.series-vs-parallel-comparison,A visually polished mixed-topology reference for style/contrast QA against the existing deterministic renderer -- topology and correctness are already governed.,"A style/contrast reference only (not a replacement asset), matching the reference topology exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.",genuinely mixed topology; obvious junctions; traceable current paths; source included where pedagogically necessary,"use only as topology/reference, not a close stylistic derivative; do not replace the governed deterministic SVG renderer's output with generated raster geometry",FALSE,,FALSE,NONE,DETERMINISTIC_VECTOR_NOT_ART_GENERATED,Wikimedia Commons — SeriesParallelCircuit.svg,https://commons.wikimedia.org/wiki/File:SeriesParallelCircuit.svg,"use only as topology/reference, not a close stylistic derivative",B,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.circuit.mixed.state.series-of-parallel"",""displayName"":""Mixed circuit — series of parallel"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.circuit.mixed.state.parallel-of-series"",""displayName"":""Mixed circuit — parallel of series"",""pedagogicalState"":""MULTI_STATE""}",2,deterministic-polish,circuit-mixed-base,apps/mobile/src/assets/instructional/unit202/deterministic-polish/circuit-mixed-base,circuit.series_parallel_mixed,READY_TO_PROMPT,TRUE,FALSE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.instrument.connections,unit202.family.instrument-connections,Instrument connections,Ammeter / voltmeter / ohmmeter connections,TECHNICAL_DIAGRAM,MULTI_STATE,REQUIRED,,DETERMINISTIC_TECHNICAL,DETERMINISTIC TECHNICAL / SELECTIVE HYBRID,P1,P1,LO2 — lesson.electrical.instrumentation,A visually polished instrument-connection reference for style/contrast QA against the existing deterministic renderer -- connection correctness is already governed.,"A style/contrast reference only (not a replacement asset), matching the reference connection geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","ammeter connects in series; voltmeter connects in parallel; resistance measurement requires a de-energised circuit; isolation/disconnection of an individual component is required only where necessary to avoid parallel-path readings, never claimed as a universal requirement; source/load context understandable",do not restate isolation as a universal requirement -- see immutable facts,FALSE,,FALSE,NONE,DETERMINISTIC_VECTOR_NOT_ART_GENERATED,Wikimedia Commons — SimpleCircuit.SVG,https://commons.wikimedia.org/wiki/File:SimpleCircuit.SVG,recorded per source page,A,Fluke resistance-measurement guidance (technical cross-check),,reference/technical grounding only -- not a redistributable asset,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.instrument.connections.state.voltmeter-parallel"",""displayName"":""voltmeter — parallel (standard)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.instrument.connections.state.voltmeter-series"",""displayName"":""voltmeter — series (non-standard, deliberate teaching contrast)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.instrument.connections.state.ammeter-series"",""displayName"":""ammeter — series (standard)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.instrument.connections.state.ammeter-parallel"",""displayName"":""ammeter — parallel (non-standard, deliberate teaching contrast)"",""pedagogicalState"":""MULTI_STATE""} | {""stateId"":""unit202.instrument.connections.state.ohmmeter-isolated"",""displayName"":""ohmmeter — isolated (standard)"",""pedagogicalState"":""MULTI_STATE""}",5,deterministic-polish,instrument-connections-base,apps/mobile/src/assets/instructional/unit202/deterministic-polish/instrument-connections-base,instrument.measurement_connection,READY_TO_PROMPT,TRUE,FALSE,APPROVED_EXISTING,HIGH,"No confirmed problem on record. Standard appraisal welcome (geometry/topology match, licence, provenance) as part of this pack's general research pass.",
Unit 202,unit202.instrument.clamp-meter,unit202.family.instrument-connections,Instrument connections,Clamp meter recognition,PHYSICAL_RECOGNITION,TEACHING,USEFUL,USEFUL,PREMIUM_CONCEPTUAL,PREMIUM CONCEPTUAL,P2,"P2 (USEFUL, not REQUIRED)",LO2 — lesson.electrical.instrumentation,"CC-11.7 audit finding: physical recognition of a clamp meter by its distinctive ferrite-jaw form -- genuinely different from the series/parallel/isolated connection topology the sibling TECHNICAL_DIAGRAM asset models. USEFUL enrichment, not REQUIRED.",BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium physical-appearance illustration of a clamp meter. Produce ONLY this asset -- do not automatically create the other members of this visual family.,ferrite clamp jaw must be clearly visible and open-able around a conductor -- the defining recognition feature,do not generate until a primary reference is marked READY; do not make one manufacturer's product appearance canonical,TRUE,instrument name,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.instrument.clamp-meter.state.teaching"",""displayName"":""Clamp meter recognition (blocked)"",""pedagogicalState"":""TEACHING""}",1,physical-components,instrument-clamp-meter-base,apps/mobile/src/assets/instructional/unit202/physical-components/instrument-clamp-meter-base,,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.instrument.oscilloscope,unit202.family.instrument-connections,Instrument connections,Oscilloscope recognition,PHYSICAL_RECOGNITION,TEACHING,USEFUL,USEFUL,PREMIUM_CONCEPTUAL,PREMIUM CONCEPTUAL,P2,"P2 (USEFUL, not REQUIRED)",LO2 — lesson.electrical.instrumentation,"CC-11.7 audit finding: physical recognition of an oscilloscope by its distinctive screen/trace form. USEFUL enrichment, not REQUIRED.",BLOCKED -- primary reference still to be approved. Do not generate until reference is marked READY. Once ready: one premium physical-appearance illustration of a oscilloscope. Produce ONLY this asset -- do not automatically create the other members of this visual family.,screen with a visible waveform trace must be clearly depicted -- the defining recognition feature,do not generate until a primary reference is marked READY; do not make one manufacturer's product appearance canonical,TRUE,instrument name,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,PRIMARY REFERENCE STILL TO BE APPROVED,,unknown -- not yet sourced,n/a,,,,TRUE,FALSE,FALSE,No reference sourced yet.,"{""stateId"":""unit202.instrument.oscilloscope.state.teaching"",""displayName"":""Oscilloscope recognition (blocked)"",""pedagogicalState"":""TEACHING""}",1,physical-components,instrument-oscilloscope-base,apps/mobile/src/assets/instructional/unit202/physical-components/instrument-oscilloscope-base,,REFERENCE_NOT_READY,FALSE,TRUE,MISSING,NONE,No reference has been sourced/approved yet. Needs ChatGPT reference research: a real image whose geometry/topology matches this asset's immutableFacts and does not conflict with its prohibitedChanges.,
Unit 202,unit202.current-direction.electron-flow-vs-conventional,unit202.family.current-direction,Conventional current vs electron flow,Conventional current vs electron flow,TECHNICAL_DIAGRAM,TEACHING,USEFUL,USEFUL,DETERMINISTIC_TECHNICAL,DETERMINISTIC TECHNICAL,P2,"P2 (USEFUL, not REQUIRED)",LO4 — lesson.electrical.charge-and-current,"CC-11.7 audit finding: a single wire with two labelled arrows -- conventional current (+ to -) and actual electron flow (- to +) -- shown together so the direction distinction and the underlying reason (electrons are negative, so they physically move opposite to the conventional-current convention) are both visible at a glance.",Deterministic vector dual-arrow diagram -- not a premium art-generation deliverable.,"conventional current direction: positive terminal to negative terminal; electron flow direction: negative terminal to positive terminal -- opposite to conventional current; both arrows on the same single wire/conductor, never on separate wires",do not draw the two arrows pointing the same direction; do not omit either arrow,TRUE,CONVENTIONAL CURRENT (+ to -); ELECTRON FLOW (- to +),TRUE,TEACHING_EXPLANATORY,DETERMINISTIC_VECTOR_NOT_ART_GENERATED,Standard conventional-current/electron-flow dual-arrow reference -- to be selected when this asset is commissioned,,to be recorded when selected,to be assessed,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.current-direction.electron-flow-vs-conventional.state.teaching"",""displayName"":""Conventional current vs electron flow (dual arrow)"",""pedagogicalState"":""TEACHING""}",1,deterministic-polish,current-direction-electron-flow-vs-conventional-base,apps/mobile/src/assets/instructional/unit202/deterministic-polish/current-direction-electron-flow-vs-conventional-base,,READY_TO_PROMPT,TRUE,FALSE,APPROVED_EXISTING,NONE,"Deterministic vector asset -- no external pictorial reference required; authoritative geometry is governed by ALP's own deterministic renderer, not redrawn from an external image. No reference research action needed.",
Unit 202,unit202.gears.driven-larger,unit202.family.gears,Driver/driven gears,Driver/driven gears — driven gear larger than the driver,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,POLISHED DETERMINISTIC / HYBRID,P1,P1,LO3 — lesson.foundation.physics.simple-machines,"Show a driver gear meshed with a driven gear, driven gear larger than the driver, representing the gear ratio and the resulting torque/speed trade-off.","One premium illustration of two meshed gears, driven gear larger than the driver, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","meaningful driver/driven relationship; physically plausible mesh; driven gear larger than the driver -- this specific size relationship is the defining physical fact of this asset, never mixed with a sibling size-ratio asset; correct rotation relationship when shown",do not depict a mesh that is not physically plausible; do not depict a different size relationship than stated -- that is a sibling ProductionAsset,TRUE,Driver; Driven,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Example of a Compound Gear Train.png,https://commons.wikimedia.org/wiki/File:Example_of_a_Compound_Gear_Train.png,CC0,A,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.gears.driven-larger.state.teaching"",""displayName"":""Driver/driven gears — driven larger"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,gears-driven-larger-base,apps/mobile/src/assets/instructional/unit202/hybrid/gears-driven-larger-base,mechanical.gear_mesh,SAVED,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 2 sibling asset(s) (unit202.gears.driven-smaller, unit202.gears.equal) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.gears.driven-smaller; unit202.gears.equal
Unit 202,unit202.gears.driven-smaller,unit202.family.gears,Driver/driven gears,Driver/driven gears — driven gear smaller than the driver,CONFIGURATION,MULTI_STATE,REQUIRED,,HYBRID,POLISHED DETERMINISTIC / HYBRID,P1,P1,LO3 — lesson.foundation.physics.simple-machines,"Show a driver gear meshed with a driven gear, driven gear smaller than the driver, representing the gear ratio and the resulting torque/speed trade-off.","One premium illustration of two meshed gears, driven gear smaller than the driver, matching the reference geometry exactly. Produce ONLY this asset -- do not automatically create the other members of this visual family.","meaningful driver/driven relationship; physically plausible mesh; driven gear smaller than the driver -- this specific size relationship is the defining physical fact of this asset, never mixed with a sibling size-ratio asset; correct rotation relationship when shown",do not depict a mesh that is not physically plausible; do not depict a different size relationship than stated -- that is a sibling ProductionAsset,TRUE,Driver; Driven,TRUE,TEACHING_EXPLANATORY,LABELLED_ARTWORK,Wikimedia Commons — Example of a Compound Gear Train.png,https://commons.wikimedia.org/wiki/File:Example_of_a_Compound_Gear_Train.png,CC0,A,,,,FALSE,FALSE,FALSE,,"{""stateId"":""unit202.gears.driven-smaller.state.teaching"",""displayName"":""Driver/driven gears — driven smaller"",""pedagogicalState"":""MULTI_STATE""}",1,hybrid,gears-driven-smaller-base,apps/mobile/src/assets/instructional/unit202/hybrid/gears-driven-smaller-base,mechanical.gear_mesh,SAVED,FALSE,TRUE,APPROVED_EXISTING,MEDIUM,"No confirmed problem on record. Shares the identical reference URL with 2 sibling asset(s) (unit202.gears.driven-larger, unit202.gears.equal) -- verify this file is not an unlabelled composite requiring per-asset isolation (cf. unit202.levers.class-1, confirmed composite in the CC-11.8 proof) before treating it as fully approved for this specific asset.",unit202.gears.driven-larger; unit202.gears.equal
